date,doses,cost
3/27/1992,12947,2.12
3/28/1992,14059,2.95
3/29/1992,8462,2.54
3/30/1992,12848,2.41
3/31/1992,12681,2.63
4/1/1992,11432,2.42
4/2/1992,9064,2.89
4/3/1992,10213,2.25
4/4/1992,8638,2.1
4/5/1992,9761,2.89
4/6/1992,8638,2.32
4/7/1992,12971,2.99
4/8/1992,11747,2.18
4/9/1992,13789,2.75
4/10/1992,11305,2.56
4/11/1992,10799,2.53
4/12/1992,13829,2.95
4/13/1992,11848,2.44
4/14/1992,10139,2.36
4/15/1992,9464,2.53
4/16/1992,9191,2.06
4/17/1992,10112,2.3
4/18/1992,13635,2.33
4/19/1992,8727,2.39
4/20/1992,9385,2.93
4/21/1992,10547,2.74
4/22/1992,12332,2.75
4/23/1992,11194,2.53
4/24/1992,9289,2.94
4/25/1992,8143,2.1
4/26/1992,9973,2.61
4/27/1992,12840,2.86
4/28/1992,12174,2.89
4/29/1992,12466,2.98
4/30/1992,13350,2.29
5/1/1992,10427,2.89
5/2/1992,9589,2.19
5/3/1992,11449,2.67
5/4/1992,9883,2.75
5/5/1992,9581,2.87
5/6/1992,12337,2.49
5/7/1992,9061,2.24
5/8/1992,12121,2.19
5/9/1992,13352,2.58
5/10/1992,12455,2.04
5/11/1992,13267,2.13
5/12/1992,9494,2.12
5/13/1992,10881,2.46
5/14/1992,11305,2.89
5/15/1992,12679,2.18
5/16/1992,13966,2.46
5/17/1992,9282,2.88
5/18/1992,13327,2.86
5/19/1992,9918,2.67
5/20/1992,8024,2.58
5/21/1992,10780,2.08
5/22/1992,13587,2.26
5/23/1992,9348,2.43
5/24/1992,11072,2.69
5/25/1992,11606,2.07
5/26/1992,9452,2.67
5/27/1992,10529,2.64
5/28/1992,10416,2.46
5/29/1992,7865,2.76
5/30/1992,13797,2.48
5/31/1992,11416,2
6/1/1992,11835,2.78
6/2/1992,11353,2.72
6/3/1992,14016,2.42
6/4/1992,13132,2.69
6/5/1992,10929,2.98
6/6/1992,12734,2.4
6/7/1992,13936,2.55
6/8/1992,11506,2.25
6/9/1992,9581,2.56
6/10/1992,11058,2.52
6/11/1992,11679,2.01
6/12/1992,13554,2.53
6/13/1992,10092,2.46
6/14/1992,13606,2.97
6/15/1992,8799,2.23
6/16/1992,12401,2.01
6/17/1992,8174,2.5
6/18/1992,7906,2.13
6/19/1992,13344,2.31
6/20/1992,8704,2.6
6/21/1992,8246,2.32
6/22/1992,10237,2.07
6/23/1992,7829,2.98
6/24/1992,10099,2.19
6/25/1992,8778,2.27
6/26/1992,14047,2.03
6/27/1992,13464,2.35
6/28/1992,11117,2.66
6/29/1992,8108,2.75
6/30/1992,12787,2.55
7/1/1992,10425,2.28
7/2/1992,8099,2.67
7/3/1992,11071,2.61
7/4/1992,13177,2.8
7/5/1992,10141,2.22
7/6/1992,9504,2.73
7/7/1992,11231,2.09
7/8/1992,10958,2.23
7/9/1992,8993,2.24
7/10/1992,10559,2.64
7/11/1992,7962,2.77
7/12/1992,7776,2.46
7/13/1992,9866,2.77
7/14/1992,10874,2.7
7/15/1992,9704,2.93
7/16/1992,7952,2.7
7/17/1992,10852,2.9
7/18/1992,12870,2.32
7/19/1992,9122,2
7/20/1992,14174,2.21
7/21/1992,11448,2.18
7/22/1992,13873,2.95
7/23/1992,14175,2.64
7/24/1992,11343,2.37
7/25/1992,14044,2.59
7/26/1992,9352,2.21
7/27/1992,10825,2.89
7/28/1992,13417,2.42
7/29/1992,11131,2.35
7/30/1992,14190,2.71
7/31/1992,10706,2.19
8/1/1992,8780,2.79
8/2/1992,8895,2
8/3/1992,8172,2.53
8/4/1992,12905,2.88
8/5/1992,13079,2.3
8/6/1992,13416,2.34
8/7/1992,13466,2.06
8/8/1992,9245,2.7
8/9/1992,8363,2.16
8/10/1992,11759,2.94
8/11/1992,10886,2.15
8/12/1992,7848,2.22
8/13/1992,13558,2.8
8/14/1992,7818,2.17
8/15/1992,8675,2.93
8/16/1992,8651,2.42
8/17/1992,11175,2.04
8/18/1992,12412,2.3
8/19/1992,11685,2.27
8/20/1992,10637,2.55
8/21/1992,9699,2.7
8/22/1992,8002,2.33
8/23/1992,9634,2.1
8/24/1992,8641,2.04
8/25/1992,8183,2.44
8/26/1992,7802,2.46
8/27/1992,8255,2.09
8/28/1992,11085,2.85
8/29/1992,13334,2.19
8/30/1992,10234,2.17
8/31/1992,13406,2.68
9/1/1992,9295,2.58
9/2/1992,13626,2.83
9/3/1992,8365,2.78
9/4/1992,9936,2.75
9/5/1992,9380,2.28
9/6/1992,13163,2.72
9/7/1992,9315,2.38
9/8/1992,10999,2.99
9/9/1992,12423,2.03
9/10/1992,12319,2.34
9/11/1992,10465,2.73
9/12/1992,10981,2.2
9/13/1992,9136,2.47
9/14/1992,12988,2.87
9/15/1992,11980,2.01
9/16/1992,11595,2.48
9/17/1992,11380,2.6
9/18/1992,10491,2.17
9/19/1992,8406,2.93
9/20/1992,11302,2.93
9/21/1992,12022,2.99
9/22/1992,8548,2.66
9/23/1992,10971,2.54
9/24/1992,13657,2.75
9/25/1992,8631,2.37
9/26/1992,8437,2.26
9/27/1992,9225,2.08
9/28/1992,12872,2.06
9/29/1992,14220,2.28
9/30/1992,13989,2.4
10/1/1992,13867,2.34
10/2/1992,9497,2.32
10/3/1992,10580,2
10/4/1992,12445,2.37
10/5/1992,12632,2.36
10/6/1992,10945,2.84
10/7/1992,9863,2.26
10/8/1992,8280,2.44
10/9/1992,9642,2.62
10/10/1992,9222,2.48
10/11/1992,9047,2.92
10/12/1992,12264,2.89
10/13/1992,10885,2.03
10/14/1992,10529,2.57
10/15/1992,7810,2.69
10/16/1992,9877,2.45
10/17/1992,12646,2.29
10/18/1992,12654,2.97
10/19/1992,8202,2
10/20/1992,11136,2.16
10/21/1992,11684,2.5
10/22/1992,11834,2.85
10/23/1992,10185,2.64
10/24/1992,12056,2.59
10/25/1992,13782,2.54
10/26/1992,9852,2.17
10/27/1992,13240,2.89
10/28/1992,12136,2.56
10/29/1992,13702,2.55
10/30/1992,12259,2.46
10/31/1992,13966,2.63
11/1/1992,8886,2.37
11/2/1992,10442,2.87
11/3/1992,13596,2.9
11/4/1992,11832,2.48
11/5/1992,10987,2.1
11/6/1992,11985,2.91
11/7/1992,8929,2.97
11/8/1992,9251,2.47
11/9/1992,9979,2.12
11/10/1992,8424,2.29
11/11/1992,11587,2.52
11/12/1992,8124,2.43
11/13/1992,12767,2.35
11/14/1992,10696,2.71
11/15/1992,14250,2.45
11/16/1992,11028,2.12
11/17/1992,7911,2.28
11/18/1992,11785,2.33
11/19/1992,10505,2.44
11/20/1992,12881,2.46
11/21/1992,10530,2.17
11/22/1992,12818,2.79
11/23/1992,11107,2.19
11/24/1992,13416,2.97
11/25/1992,11958,2.37
11/26/1992,12466,2.81
11/27/1992,7873,2.62
11/28/1992,12202,2.36
11/29/1992,8914,2.68
11/30/1992,13092,2.07
12/1/1992,12840,2.82
12/2/1992,9397,2.09
12/3/1992,9181,2.68
12/4/1992,12042,2.86
12/5/1992,10590,2.49
12/6/1992,10476,2.8
12/7/1992,13159,2.34
12/8/1992,12321,2.94
12/9/1992,8764,2.45
12/10/1992,10011,2.73
12/11/1992,12103,2.62
12/12/1992,14052,2.94
12/13/1992,12916,2.18
12/14/1992,7976,2.41
12/15/1992,12283,2.26
12/16/1992,13203,2.38
12/17/1992,9587,2.28
12/18/1992,10053,2.2
12/19/1992,14208,2.93
12/20/1992,7915,2.99
12/21/1992,11710,2.9
12/22/1992,13968,2.41
12/23/1992,10433,2.28
12/24/1992,9077,2.08
12/25/1992,13926,2.14
12/26/1992,12280,2.37
12/27/1992,14204,2.96
12/28/1992,11090,2.46
12/29/1992,9596,2.57
12/30/1992,10199,2.86
12/31/1992,9062,2.06
1/1/1993,10550,2.61
1/2/1993,8730,2.66
1/3/1993,8698,2.92
1/4/1993,12183,2.94
1/5/1993,8705,2.58
1/6/1993,13286,2.9
1/7/1993,10740,2.46
1/8/1993,11148,2.28
1/9/1993,8183,2.97
1/10/1993,13626,2.95
1/11/1993,7985,2.7
1/12/1993,8555,2.61
1/13/1993,12616,2.81
1/14/1993,13691,2.6
1/15/1993,11506,2.38
1/16/1993,9583,2.72
1/17/1993,8607,2.53
1/18/1993,11086,2.31
1/19/1993,11060,2.55
1/20/1993,12862,2.92
1/21/1993,13594,2.31
1/22/1993,11668,2.55
1/23/1993,13838,2.95
1/24/1993,14276,2.55
1/25/1993,10284,2.3
1/26/1993,13837,2.72
1/27/1993,10354,2.38
1/28/1993,10091,2.97
1/29/1993,12842,2.23
1/30/1993,11347,2.36
1/31/1993,13477,2.4
2/1/1993,10896,2.83
2/2/1993,10711,2.6
2/3/1993,13038,2.23
2/4/1993,10868,2.45
2/5/1993,11447,2.4
2/6/1993,13908,2.81
2/7/1993,11625,2.12
2/8/1993,10098,2.73
2/9/1993,11020,2.21
2/10/1993,10700,2.29
2/11/1993,10859,2.52
2/12/1993,8195,2.19
2/13/1993,9668,2.45
2/14/1993,10302,2.69
2/15/1993,11365,2.17
2/16/1993,13447,2.84
2/17/1993,12072,2.42
2/18/1993,9850,2.62
2/19/1993,9401,2.14
2/20/1993,8619,2.93
2/21/1993,10569,2.85
2/22/1993,13640,2.94
2/23/1993,9507,2.15
2/24/1993,13653,2.07
2/25/1993,13222,2.08
2/26/1993,8375,2.67
2/27/1993,10246,2.26
2/28/1993,13584,2.69
3/1/1993,13103,2.58
3/2/1993,10975,2.9
3/3/1993,11191,2.47
3/4/1993,8392,2
3/5/1993,11379,2.66
3/6/1993,10356,2.01
3/7/1993,9297,2.59
3/8/1993,13471,2.53
3/9/1993,8890,2.96
3/10/1993,8007,2.42
3/11/1993,12080,2.81
3/12/1993,10092,2.1
3/13/1993,7828,2.69
3/14/1993,10519,2.83
3/15/1993,8653,2.95
3/16/1993,14034,2.48
3/17/1993,7925,2.32
3/18/1993,9976,2.36
3/19/1993,8943,2.94
3/20/1993,13265,2.04
3/21/1993,13269,2.51
3/22/1993,14095,2.11
3/23/1993,7869,2.71
3/24/1993,12411,2.62
3/25/1993,11072,2.39
3/26/1993,8448,2.64
3/27/1993,11685,2.78
3/28/1993,9453,2.97
3/29/1993,10986,2.57
3/30/1993,8851,2.3
3/31/1993,8114,2.28
4/1/1993,10811,2.3
4/2/1993,9288,2.3
4/3/1993,12070,2.21
4/4/1993,10755,2.64
4/5/1993,10133,2.2
4/6/1993,11703,2.41
4/7/1993,14058,2.74
4/8/1993,7772,2.12
4/9/1993,13567,2.03
4/10/1993,9004,2.42
4/11/1993,11087,2.93
4/12/1993,8308,2.59
4/13/1993,8024,2.95
4/14/1993,11227,2.72
4/15/1993,8795,2.81
4/16/1993,9245,2.92
4/17/1993,8469,2.08
4/18/1993,13210,2.19
4/19/1993,12171,2.53
4/20/1993,11919,2.13
4/21/1993,12083,2.95
4/22/1993,12042,2.44
4/23/1993,13760,2.85
4/24/1993,11257,2.11
4/25/1993,10003,2.02
4/26/1993,13646,2.7
4/27/1993,12080,2.78
4/28/1993,11487,2.94
4/29/1993,11236,2.64
4/30/1993,9639,2.25
5/1/1993,12028,2.22
5/2/1993,8381,2.52
5/3/1993,8078,2.42
5/4/1993,8096,2.24
5/5/1993,13567,2.51
5/6/1993,10914,2.63
5/7/1993,10150,2.97
5/8/1993,9521,2.25
5/9/1993,12994,2.18
5/10/1993,10854,2.38
5/11/1993,8623,2.77
5/12/1993,9426,2.89
5/13/1993,13836,2.05
5/14/1993,13277,2.73
5/15/1993,12567,2.13
5/16/1993,12599,2.77
5/17/1993,10623,2.49
5/18/1993,9959,2.33
5/19/1993,14289,2.6
5/20/1993,12821,2.43
5/21/1993,9469,2.2
5/22/1993,8932,2.11
5/23/1993,9861,2.17
5/24/1993,12521,2.47
5/25/1993,8680,2.27
5/26/1993,12612,2.53
5/27/1993,13220,2.55
5/28/1993,9697,2.57
5/29/1993,12408,2.92
5/30/1993,9098,2.75
5/31/1993,9743,2.89
6/1/1993,13837,2.92
6/2/1993,12281,2.33
6/3/1993,12954,3
6/4/1993,8543,2.24
6/5/1993,12649,2.04
6/6/1993,10587,2.4
6/7/1993,13770,2.37
6/8/1993,10866,2.73
6/9/1993,10169,2.24
6/10/1993,9089,2.87
6/11/1993,7818,2.65
6/12/1993,10046,2.02
6/13/1993,13303,2.01
6/14/1993,7952,2.11
6/15/1993,11130,2.11
6/16/1993,11407,2.73
6/17/1993,11902,2.12
6/18/1993,7996,2.45
6/19/1993,12724,2.64
6/20/1993,13675,2.2
6/21/1993,10795,2.31
6/22/1993,9261,2.9
6/23/1993,8347,2.19
6/24/1993,9774,2.29
6/25/1993,8145,2.94
6/26/1993,8930,2.83
6/27/1993,11044,2.06
6/28/1993,10264,2.46
6/29/1993,12396,2.63
6/30/1993,13794,2.58
7/1/1993,10675,2.63
7/2/1993,10253,2.46
7/3/1993,13745,2.43
7/4/1993,13105,2.68
7/5/1993,11452,2.89
7/6/1993,11861,2.17
7/7/1993,11693,2.28
7/8/1993,8319,2.06
7/9/1993,10800,2
7/10/1993,14104,2.63
7/11/1993,9332,2.43
7/12/1993,12380,2.02
7/13/1993,11290,2.08
7/14/1993,11963,2.83
7/15/1993,9061,2.44
7/16/1993,9619,2.58
7/17/1993,11658,2.87
7/18/1993,8514,2.72
7/19/1993,13152,2.01
7/20/1993,7870,2.11
7/21/1993,11217,2.97
7/22/1993,7924,2.8
7/23/1993,10369,2.1
7/24/1993,12477,2.93
7/25/1993,10577,2.06
7/26/1993,12892,2.36
7/27/1993,8941,2.23
7/28/1993,9373,2.49
7/29/1993,9812,2.68
7/30/1993,12254,2.5
7/31/1993,11269,2.12
8/1/1993,13200,2.31
8/2/1993,12037,2.44
8/3/1993,13838,2.22
8/4/1993,9805,2.67
8/5/1993,14221,2.65
8/6/1993,13021,2.32
8/7/1993,12129,2.8
8/8/1993,8107,2.48
8/9/1993,13205,2.44
8/10/1993,8848,2.84
8/11/1993,10128,2.9
8/12/1993,9480,2.62
8/13/1993,12677,2.08
8/14/1993,8111,2.05
8/15/1993,10883,2.91
8/16/1993,11258,2.72
8/17/1993,13394,2.54
8/18/1993,11653,2.93
8/19/1993,13971,2.16
8/20/1993,13919,2.78
8/21/1993,7840,2.98
8/22/1993,9726,2.83
8/23/1993,10587,2.76
8/24/1993,8551,2.06
8/25/1993,12821,2.42
8/26/1993,10815,2.41
8/27/1993,11965,2.01
8/28/1993,7837,2.29
8/29/1993,9686,2.55
8/30/1993,10013,2.6
8/31/1993,13396,2.88
9/1/1993,14081,2.95
9/2/1993,13129,2.57
9/3/1993,12892,2.98
9/4/1993,8737,2.03
9/5/1993,8263,2.4
9/6/1993,13823,2.48
9/7/1993,12146,3
9/8/1993,11657,2.19
9/9/1993,12837,2.41
9/10/1993,9861,2.18
9/11/1993,12386,2.54
9/12/1993,13833,2.65
9/13/1993,8010,2.17
9/14/1993,12626,2.89
9/15/1993,13197,2.33
9/16/1993,9424,2.45
9/17/1993,12637,2.59
9/18/1993,12383,2.88
9/19/1993,14105,2.88
9/20/1993,13705,2.97
9/21/1993,9992,2.36
9/22/1993,13992,2.77
9/23/1993,14231,2.6
9/24/1993,13384,2.25
9/25/1993,11203,2.89
9/26/1993,13092,2.03
9/27/1993,12140,2.48
9/28/1993,12715,2.42
9/29/1993,11234,2.02
9/30/1993,12010,2.77
10/1/1993,10173,2.19
10/2/1993,11355,2.4
10/3/1993,10890,2.65
10/4/1993,9952,2.12
10/5/1993,14260,2.42
10/6/1993,9400,2.1
10/7/1993,12247,2.54
10/8/1993,11598,2.25
10/9/1993,8849,2.1
10/10/1993,11023,2.87
10/11/1993,12736,2.1
10/12/1993,13348,2.23
10/13/1993,10216,2.23
10/14/1993,9276,2.32
10/15/1993,9181,2.96
10/16/1993,8836,2.97
10/17/1993,8019,2.23
10/18/1993,11053,2.51
10/19/1993,10478,2.92
10/20/1993,7888,2.26
10/21/1993,12719,2.17
10/22/1993,8234,2.22
10/23/1993,11450,2.95
10/24/1993,12028,2.86
10/25/1993,13702,2.71
10/26/1993,9731,2.38
10/27/1993,10058,2.02
10/28/1993,11165,2.64
10/29/1993,12391,2.58
10/30/1993,8039,2.98
10/31/1993,10688,2.25
11/1/1993,10874,2.66
11/2/1993,8049,2.41
11/3/1993,10647,2.65
11/4/1993,11499,2.38
11/5/1993,10146,2.33
11/6/1993,10916,2.25
11/7/1993,9707,2.38
11/8/1993,12700,2.5
11/9/1993,10584,2.91
11/10/1993,8149,2.3
11/11/1993,10814,2.63
11/12/1993,8163,2.81
11/13/1993,10715,2.87
11/14/1993,12931,2.27
11/15/1993,12432,2.66
11/16/1993,11865,2.03
11/17/1993,9353,2.52
11/18/1993,9833,2.04
11/19/1993,8648,2.1
11/20/1993,8831,2.95
11/21/1993,13683,2.07
11/22/1993,11705,2.83
11/23/1993,8776,2.92
11/24/1993,12794,2.59
11/25/1993,14246,2.52
11/26/1993,9991,2.5
11/27/1993,8251,2.3
11/28/1993,8353,2.76
11/29/1993,8340,2.54
11/30/1993,8153,2.15
12/1/1993,8471,2.84
12/2/1993,10475,2.44
12/3/1993,10223,2.3
12/4/1993,13696,2.22
12/5/1993,13627,2.13
12/6/1993,11743,2.43
12/7/1993,10264,2.3
12/8/1993,11642,2.47
12/9/1993,8571,2.39
12/10/1993,10367,2.06
12/11/1993,12005,2.61
12/12/1993,8273,2.32
12/13/1993,12950,2.49
12/14/1993,13648,2.6
12/15/1993,11427,2.73
12/16/1993,9633,2.96
12/17/1993,14216,2.4
12/18/1993,8894,2.67
12/19/1993,9472,2.39
12/20/1993,8108,2.49
12/21/1993,11585,2.78
12/22/1993,10837,2.62
12/23/1993,10938,2.09
12/24/1993,13309,2.17
12/25/1993,10325,2.79
12/26/1993,14150,2.86
12/27/1993,7771,2.5
12/28/1993,9326,2.17
12/29/1993,9775,2.44
12/30/1993,14272,2.69
12/31/1993,12698,2.93
1/1/1994,13500,2.39
1/2/1994,9706,2.35
1/3/1994,13697,2.79
1/4/1994,11878,2.7
1/5/1994,14147,2.05
1/6/1994,13800,2.42
1/7/1994,11398,2.4
1/8/1994,9129,2.44
1/9/1994,13616,2.76
1/10/1994,11719,2.71
1/11/1994,11382,2.71
1/12/1994,8483,2.93
1/13/1994,11182,2.49
1/14/1994,8268,2.83
1/15/1994,11776,2.87
1/16/1994,9462,2.22
1/17/1994,12795,2.4
1/18/1994,13674,2.29
1/19/1994,11417,2.25
1/20/1994,9414,2.85
1/21/1994,8997,2.55
1/22/1994,10680,3
1/23/1994,14100,2.11
1/24/1994,9554,2.41
1/25/1994,8887,2.99
1/26/1994,11516,2.31
1/27/1994,13374,2.17
1/28/1994,11113,2.39
1/29/1994,10513,2.19
1/30/1994,11056,2.02
1/31/1994,8863,2.41
2/1/1994,14134,2.26
2/2/1994,12473,2.03
2/3/1994,9861,2.19
2/4/1994,8485,2.59
2/5/1994,9315,2.51
2/6/1994,13086,2.14
2/7/1994,9291,2.39
2/8/1994,9913,2.57
2/9/1994,12472,2.32
2/10/1994,11501,2
2/11/1994,10987,2.56
2/12/1994,13937,2.3
2/13/1994,12708,2.13
2/14/1994,8529,2.82
2/15/1994,9470,2.06
2/16/1994,11500,2.02
2/17/1994,11994,2.31
2/18/1994,7983,2.78
2/19/1994,12086,2.47
2/20/1994,10076,2.24
2/21/1994,11405,2.37
2/22/1994,7988,2.75
2/23/1994,14209,2.92
2/24/1994,10451,2.24
2/25/1994,12631,2.61
2/26/1994,13376,2.04
2/27/1994,10493,2.59
2/28/1994,11774,2.02
3/1/1994,14066,2.84
3/2/1994,11447,2.65
3/3/1994,12877,2.19
3/4/1994,13772,2.8
3/5/1994,8391,2.42
3/6/1994,7838,2.86
3/7/1994,12962,2.16
3/8/1994,10633,2.69
3/9/1994,12548,2.86
3/10/1994,9276,2.08
3/11/1994,9176,2.06
3/12/1994,11069,2.15
3/13/1994,11704,2.74
3/14/1994,13268,2.32
3/15/1994,13162,2.07
3/16/1994,9197,2.47
3/17/1994,9439,2.27
3/18/1994,12947,2.85
3/19/1994,11453,2.9
3/20/1994,13921,2.08
3/21/1994,12069,2.93
3/22/1994,10313,2.46
3/23/1994,10204,2.94
3/24/1994,10780,2.36
3/25/1994,8323,2.05
3/26/1994,8914,2.85
3/27/1994,10952,2.18
3/28/1994,10228,2.22
3/29/1994,12228,2.76
3/30/1994,11040,2.93
3/31/1994,8348,2.05
4/1/1994,12546,2.64
4/2/1994,10316,2.85
4/3/1994,9345,2.72
4/4/1994,8901,2.45
4/5/1994,9734,2.98
4/6/1994,13127,2.54
4/7/1994,10139,2.99
4/8/1994,13217,2.93
4/9/1994,10466,2.09
4/10/1994,8203,2.66
4/11/1994,12433,2.63
4/12/1994,8063,2.34
4/13/1994,14201,2.3
4/14/1994,12332,2.31
4/15/1994,13780,2.14
4/16/1994,13428,2.46
4/17/1994,9403,2.77
4/18/1994,13563,2.01
4/19/1994,12905,2.96
4/20/1994,14112,2.8
4/21/1994,11067,2.89
4/22/1994,9565,2.07
4/23/1994,9215,2.1
4/24/1994,9003,2.06
4/25/1994,10959,2.51
4/26/1994,8071,2.93
4/27/1994,13625,2.35
4/28/1994,13495,2.06
4/29/1994,13691,2.94
4/30/1994,8711,2.27
5/1/1994,9093,2.95
5/2/1994,8731,2.12
5/3/1994,12493,2.15
5/4/1994,10534,2.65
5/5/1994,12011,2.56
5/6/1994,13515,2.45
5/7/1994,7801,3
5/8/1994,10343,2.32
5/9/1994,11288,2.82
5/10/1994,10644,2.26
5/11/1994,13227,2.38
5/12/1994,13211,2.97
5/13/1994,10861,2.5
5/14/1994,12426,2.55
5/15/1994,8169,2.14
5/16/1994,8598,2.62
5/17/1994,10196,2.61
5/18/1994,12320,2.77
5/19/1994,11483,2.75
5/20/1994,10669,2.8
5/21/1994,13393,2.8
5/22/1994,14070,2.74
5/23/1994,12920,2.74
5/24/1994,13968,2.65
5/25/1994,12622,2.88
5/26/1994,7890,2.12
5/27/1994,10653,2.32
5/28/1994,12985,2.26
5/29/1994,10669,2.22
5/30/1994,13308,2.03
5/31/1994,11168,2.7
6/1/1994,8430,2.97
6/2/1994,11482,2.35
6/3/1994,13992,2.1
6/4/1994,14186,2.76
6/5/1994,11166,2.07
6/6/1994,11535,2.48
6/7/1994,10148,2.12
6/8/1994,11144,2.25
6/9/1994,14132,2.95
6/10/1994,12542,2.59
6/11/1994,7939,2.83
6/12/1994,7811,2.35
6/13/1994,13178,2.46
6/14/1994,8789,2.03
6/15/1994,13855,2.65
6/16/1994,12757,2.83
6/17/1994,9175,2.83
6/18/1994,10738,2.99
6/19/1994,12649,2.9
6/20/1994,14023,2.12
6/21/1994,12220,2.44
6/22/1994,12990,2.8
6/23/1994,11761,2.88
6/24/1994,10669,2.38
6/25/1994,10205,2.67
6/26/1994,8354,2.18
6/27/1994,9286,2.47
6/28/1994,9820,2.95
6/29/1994,12470,2.62
6/30/1994,10180,2.07
7/1/1994,10863,2.03
7/2/1994,11595,2.76
7/3/1994,11304,2.67
7/4/1994,10936,2.65
7/5/1994,8043,2.22
7/6/1994,10027,2.35
7/7/1994,8979,2.47
7/8/1994,9679,2.5
7/9/1994,12656,2.68
7/10/1994,12959,2.61
7/11/1994,9978,2.19
7/12/1994,14271,2.5
7/13/1994,9873,2.92
7/14/1994,8015,2.19
7/15/1994,12647,2.46
7/16/1994,9298,2.8
7/17/1994,9035,2.11
7/18/1994,9135,2.74
7/19/1994,7774,2.53
7/20/1994,7942,2.06
7/21/1994,14043,2.64
7/22/1994,9281,2.49
7/23/1994,9708,2.7
7/24/1994,10609,2.35
7/25/1994,13049,2.33
7/26/1994,10799,2.96
7/27/1994,13604,2.18
